STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)",Số món(thay thế),Trọng lượng(thay thế) ,Lý do(thay thế),Số món(phụ kiện),Trọng lượng(phụ kiện) ,Lý do(phụ kiện)
1,610,Xi 2-3 màu,2,Dây,3c634,3c678,,,,350,,,,,,,,,,,
2,610,Xi 2-3 màu,8,Lắc,9c878,9c804,,,,1400,,,,,,,,,,,
3,610,Xi 2-3 màu,1,Bông,5p38,5p38,,,,175,,,,,,,,,,,
4,610,Xi 2-3 màu,1,Mặt,4p68,4p68,,,,175,,,,,,,,,,,
5,750gram,Xi trắng,30,Dây,63c116,62c668,,,,3240,,,,,,,,,-1+1,-2li4 +1p1,thay khóa
6,750gram,Xi trắng,11,Lắc,24c25,24c03,,,,1145,,-4p96,gãy charm,,,,,,,,
7,750gram,Xi trắng,1,Vòng,4c45,4c37,,,,150,,,,,,,,,,,
8,750gram,Xi trắng,23,Nhẫn,31c052,30c35,,,,1115,-3,-7c028,gãy chấu,,,,,,,,
9,750gram,Xi trắng,13,Mặt,6c008,5c968,,,,,,,,,,,,,,,
10,750gram,Xi trắng,25,Bông,14c114,13c908,,,,1125,-2,-1c088,"gãy chấu, lũng",,,,,,,,
11,750gram,Xi hồng,2,Lắc,3c278,3c276,,,,,,,,,,,,,,,
12,416,Xi trắng,24,Dây,29c438,29c28,,,,2420,,,,,,,,,,,
13,416,Xi trắng,13,Lắc,17c27,17c048,,,,1295,,,,,,,,,,,
14,416,Xi trắng,2,Vòng,3c062,3c018,,,,206,,-3p64,gãy charm,,,,,,,,
15,416,Xi trắng,51,Nhẫn,52c184,50c766,,,,2435,-6,-7c458,gãy chấu,,,,,,,,
16,416,Xi trắng,30,Bông,13c882,13c87,,,,1350,,,,,,,,,,,
17,416,Xi trắng,14,Mặt,5c22,5c114,,,,1820,,,,,,,,,,,
